Date,Category-Por B,COA Account,Vendor,Vendor Type,Description,Amount,Paid Thru
20-05-2026,Personal,Personal - Miscellaneous,Sahara Centre,Shopping Mall,Shopping mall purchase|Sahara Centre,-500,Mashreq_Cash
05-04-2026,Personal,Personal-TBD,Union Taxi,Transport,Transport/taxi|Union Taxi,18.75,Mashreq_Cash
04-04-2026,Business,Printing|Stationery,A|Print House,Printing|Stationery,Printing|stationery|A|Print House,3.02,Mashreq_Cash
03-04-2026,Personal,Personal - Vehicle Fuel,Emirates General Petroleum,Fuel Station,Vehicle fuel|Emirates General Petroleum,140.03,Mashreq_Cash
31-03-2026,Personal,Personal - Vehicle Fuel,Emarat,Fuel Station,Vehicle fuel|Emarat,100.02,Mashreq_Cash
30-03-2026,Personal,Personal - Miscellaneous,Al Kabayel Oasis,Restaurant,Restaurant|dining|Al Kabayel Oasis,39.19,Mashreq_Cash
28-03-2026,Personal,Personal - Vehicle Fuel,Emarat,Fuel Station,Vehicle fuel|Emarat,106.4,Mashreq_Cash
24-03-2026,Personal,Personal - Vehicle Fuel,Emarat,Fuel Station,Vehicle fuel|Emarat,95.03,Mashreq_Cash
23-03-2026,Personal,Personal - Shopping & Lifestyle,Alhameidi Department Store,Retail,Retail purchase|Alhameidi Department Store,75,Mashreq_Cash
21-03-2026,Personal,Personal - Vehicle Fuel,Emarat,Fuel Station,Vehicle fuel|Emarat,92,Mashreq_Cash
18-03-2026,Personal,Personal|Medical|Pharmacy,Salah Din Medical Fitness,Medical,Medical expense|Salah Din Medical Fitness,78.14,Mashreq_Cash
17-03-2026,Business,Printing|Stationery,A|Print House,Printing|Stationery,Printing|stationery|A|Print House,6,Mashreq_Cash
16-03-2026,Personal,Personal - Shopping & Lifestyle,Photozone Studio,Photography,Photography service|Photozone Studio,7,Mashreq_Cash
16-03-2026,Personal,Personal - Vehicle Fuel,Emarat,Fuel Station,Vehicle fuel|Emarat,110,Mashreq_Cash
12-03-2026,Personal,Personal - Vehicle Fuel,Emarat,Fuel Station,Vehicle fuel|Emarat,107.69,Mashreq_Cash
12-03-2026,Personal,Personal - Vehicle Maintenance,Motor Land,Vehicle Maintenance,Vehicle maintenance/repair|Motor Land,315,Mashreq_Cash
10-03-2026,Personal,Personal-TBD,Zone Tourism,Travel Agency,Travel booking|Zone Tourism,2874,Mashreq_Cash
