Date,Description,Reference,Credit,Debit,Balance,Trigger
09-07-2025,PettyCash_PJ, CWDR To Pettycash_PJ/727863/09-07-2025 19:25:47/SWT,,5002,-4366.27,PettyCash_PJ
02-07-2025,Bank_CS, From Bank-CS,500,,635.73,Bank_CS
02-07-2025,PettyCash_PJ, CWDR To Pettycash_PJ/620/02-07-2025 18:32:23/SWT,,502,135.73,PettyCash_PJ
28-06-2025,Bank_CS, From Bank-CS,23000,,637.73,Bank_CS
28-06-2025,PettyCash_PJ, CWDR To Pettycash_PJ/8586/28-06-2025 06:23:03/SWT,,10000,-22362.27,PettyCash_PJ
28-06-2025,PettyCash_PJ, CWDR To Pettycash_PJ/8587/28-06-2025 06:24:02/SWT,,8000,-12362.27,PettyCash_PJ
27-06-2025,PettyCash_PJ, CWDR To Pettycash_PJ/2424872387/27-06-2025 12:53:58/SWT,,5002,-4362.27,PettyCash_PJ
12-06-2025,PettyCash_PJ, CWDR To Pettycash_PJ/7351/12-06-2025 06:10:57/SWT,,4502,639.73,PettyCash_PJ
11-06-2025,Bank_CS, From Bank-CS,4500,,5141.73,Bank_CS
10-06-2025,Bank_CS, From Bank-CS,8600,,641.73,Bank_CS
10-06-2025,PettyCash_PJ, CWDR To Pettycash_PJ/233734/10-06-2025 15:43:26/SWT,,5002,-7958.27,PettyCash_PJ
10-06-2025,PettyCash_PJ, CWDR To Pettycash_PJ/235153/10-06-2025 15:44:26/SWT,,3602,-2956.27,PettyCash_PJ
28-05-2025,PettyCash_PJ, CWDR To Pettycash_PJ/6514/28-05-2025 06:32:21/SWT,,10000,645.73,PettyCash_PJ
28-05-2025,PettyCash_PJ, CWDR To Pettycash_PJ/6515/28-05-2025 06:33:25/SWT,,5800,10645.73,PettyCash_PJ
27-05-2025,Bank_CS, From Bank-CS,20800,,16445.73,Bank_CS
27-05-2025,PettyCash_PJ, CWDR To Pettycash_PJ/509439/27-05-2025 19:34:49/SWT,,5002,-4354.27,PettyCash_PJ
12-05-2025,Bank_CS, From Bank-CS,10000,,647.73,Bank_CS
12-05-2025,Bank_CS, From Bank-CS,9000,,-9352.27,Bank_CS
12-05-2025,PettyCash_PJ, CWDR To Pettycash_PJ/5550/12-05-2025 06:37:08/SWT,,10000,-18352.27,PettyCash_PJ
12-05-2025,PettyCash_PJ, CWDR To Pettycash_PJ/5551/12-05-2025 06:38:03/SWT,,9000,-8352.27,PettyCash_PJ
30-04-2025,PettyCash_PJ, CWDR To Pettycash_PJ/4637/30-04-2025 06:32:01/SWT,,6000,647.73,PettyCash_PJ
29-04-2025,Bank_CS, From Bank-CS,5000,,6647.73,Bank_CS
29-04-2025,PettyCash_PJ, CWDR To Pettycash_PJ/4537/29-04-2025 06:30:15/SWT,,10000,1647.73,PettyCash_PJ
29-04-2025,PettyCash_PJ #2, CWDR To Pettycash_PJ/4538/29-04-2025 06:31:19/SWT,,10000,11647.73,PettyCash_PJ #2
28-04-2025,Bank_CS, From Bank-CS,21000,,21647.73,Bank_CS
23-04-2025,PettyCash_PJ, CWDR To Pettycash_PJ/1439/23-04-2025 06:12:25/SWT,,502,647.73,PettyCash_PJ
22-04-2025,Bank_CS, From Bank-CS,500,,1149.73,Bank_CS
21-04-2025,Bank_CS, From Bank-CS,5200,,649.73,Bank_CS
21-04-2025,PettyCash_PJ, CWDR To Pettycash_PJ/1260/21-04-2025 06:12:33/SWT,,5002,-4550.27,PettyCash_PJ
21-04-2025,PettyCash_PJ, CWDR To Pettycash_PJ/3003/21-04-2025 11:32:27/SWT,,202,451.73,PettyCash_PJ
10-04-2025,PettyCash_PJ, CWDR To Pettycash_PJ/2316542527/10-04-2025 06:09:56/SWT,,5002,653.73,PettyCash_PJ
10-04-2025,PettyCash_PJ, CWDR To Pettycash_PJ/2316542709/10-04-2025 06:11:02/SWT,,2502,5655.73,PettyCash_PJ
09-04-2025,Bank_CS, From Bank-CS,7500,,8157.73,Bank_CS
04-04-2025,PettyCash_PJ, CWDR To Pettycash_PJ/9732/04-04-2025 06:11:21/SWT,,902,657.73,PettyCash_PJ
03-04-2025,Bank_CS, From Bank-CS,1000,,1559.73,Bank_CS
31-03-2025,PettyCash_PJ, CWDR To Pettycash_PJ/2302287262/30-03-2025 18:53:21/SWT,,502,559.73,PettyCash_PJ
28-03-2025,Bank_CS, From Bank-CS,500,,1061.73,Bank_CS
27-03-2025,PettyCash_PJ, CWDR To Pettycash_PJ/842472/27-03-2025 11:49:57/SWT,,502,561.73,PettyCash_PJ
26-03-2025,PettyCash_PJ, CWDR To Pettycash_PJ/2228/26-03-2025 06:35:42/SWT,,10000,1063.73,PettyCash_PJ
26-03-2025,PettyCash_PJ #2, CWDR To Pettycash_PJ/2229/26-03-2025 06:36:39/SWT,,10000,11063.73,PettyCash_PJ #2
25-03-2025,Bank_CS, From Bank-CS,20500,,21063.73,Bank_CS
10-03-2025,PettyCash_PJ, CWDR To Pettycash_PJ/2273938839/09-03-2025 06:03:29/SWT,,5002,563.73,PettyCash_PJ
10-03-2025,PettyCash_PJ #2, CWDR To Pettycash_PJ/2273939170/09-03-2025 06:04:27/SWT,,5002,5565.73,PettyCash_PJ #2
06-03-2025,PettyCash_PJ, CWDR To Pettycash_PJ/6061/06-03-2025 06:47:12/SWT,,5002,10567.73,PettyCash_PJ
05-03-2025,Bank_CS, From Bank-CS,15000,,15569.73,Bank_CS
26-02-2025,PettyCash_PJ, CWDR To Pettycash_PJ/947294/26-02-2025 19:47:18/SWT,,502,569.73,PettyCash_PJ
24-02-2025,Bank_CS, From Bank-CS,20500,,1071.73,Bank_CS
24-02-2025,Bank_CS, From Bank-CS,3500,,-19428.27,Bank_CS
24-02-2025,PettyCash_PJ, CWDR To Pettycash_PJ/170/24-02-2025 06:58:42/SWT,,10000,-22928.27,PettyCash_PJ
24-02-2025,PettyCash_PJ #2, CWDR To Pettycash_PJ/171/24-02-2025 06:59:40/SWT,,10000,-12928.27,PettyCash_PJ #2
24-02-2025,PettyCash_PJ, CWDR To Pettycash_PJ/701536602/23-02-2025 11:48:27/SWT,,3502,-2928.27,PettyCash_PJ
20-02-2025,Bank_CS, From Bank-CS,1700,,573.73,Bank_CS
20-02-2025,PettyCash_PJ, CWDR To Pettycash_PJ/257077/20-02-2025 19:35:24/SWT,,1702,-1126.27,PettyCash_PJ
13-02-2025,PettyCash_PJ, CWDR To Pettycash_PJ/2241876976/13-02-2025 11:35:31/SWT,,502,575.73,PettyCash_PJ
12-02-2025,Bank_CS, From Bank-CS,500,,1077.73,Bank_CS
10-02-2025,Bank_CS, From Bank-CS,5500,,577.73,Bank_CS
10-02-2025,PettyCash_PJ, CWDR To Pettycash_PJ/2237281278/09-02-2025 19:53:29/SWT,,5002,-4922.27,PettyCash_PJ
10-02-2025,PettyCash_PJ, CWDR To Pettycash_PJ/2237283397/09-02-2025 19:54:33/SWT,,502,79.73,PettyCash_PJ
07-02-2025,PettyCash_PJ, CWDR To Pettycash_PJ/2233957853/07-02-2025 16:55:54/SWT,,1502,581.73,PettyCash_PJ
06-02-2025,Bank_CS, From Bank-CS,1500,,2083.73,Bank_CS
31-01-2025,Bank_CS, From Bank-CS,700,,583.73,Bank_CS
31-01-2025,PettyCash_PJ, CWDR To Pettycash_PJ/886801/31-01-2025 18:33:26/SWT,,702,-116.27,PettyCash_PJ
30-01-2025,PettyCash_PJ, CWDR To Pettycash_PJ/691907387/30-01-2025 09:45:19/SWT,,1502,585.73,PettyCash_PJ
29-01-2025,Bank_CS, From Bank-CS,21500,,2087.73,Bank_CS
29-01-2025,PettyCash_PJ, CWDR To Pettycash_PJ/2221130777/29-01-2025 15:38:16/SWT,,5002,-19412.27,PettyCash_PJ
29-01-2025,PettyCash_PJ #2, CWDR To Pettycash_PJ/2221131962/29-01-2025 15:39:13/SWT,,5002,-14410.27,PettyCash_PJ #2
29-01-2025,PettyCash_PJ #3, CWDR To Pettycash_PJ/2221133102/29-01-2025 15:40:10/SWT,,5002,-9408.27,PettyCash_PJ #3
29-01-2025,PettyCash_PJ #4, CWDR To Pettycash_PJ/2221134523/29-01-2025 15:41:15/SWT,,5002,-4406.27,PettyCash_PJ #4
27-01-2025,PettyCash_PJ, CWDR To Pettycash_PJ/559092/27-01-2025 18:40:40/SWT,,402,595.73,PettyCash_PJ
16-01-2025,Bank_CS, From Bank-CS,1700,,997.73,Bank_CS
16-01-2025,PettyCash_PJ, CWDR To Pettycash_PJ/2204679771/16-01-2025 19:50:34/SWT,,1702,-702.27,PettyCash_PJ
16-01-2025,PettyCash_PJ, CWDR To Pettycash_PJ/7509/16-01-2025 07:04:23/SWT,,10000,999.73,PettyCash_PJ
16-01-2025,PettyCash_PJ, CWDR To Pettycash_PJ/7510/16-01-2025 07:05:21/SWT,,6000,10999.73,PettyCash_PJ
15-01-2025,Bank_CS, From Bank-CS,26000,,16999.73,Bank_CS
15-01-2025,PettyCash_PJ, CWDR To Pettycash_PJ/2203565249/15-01-2025 21:15:28/SWT,,5002,-9000.27,PettyCash_PJ
15-01-2025,PettyCash_PJ #2, CWDR To Pettycash_PJ/2203566892/15-01-2025 21:16:25/SWT,,5002,-3998.27,PettyCash_PJ #2
09-01-2025,PJ_Cash, CRTR/000000007030/09-01-2025 07:31:49/SWT---fROMp,1000,,1003.73,PJ_Cash
09-01-2025,PJ_Cash, CWDR To PJ_Cash,,2000,3.73,PJ_Cash
09-01-2025,PJ_Cash, CWDR To PJ-Cash/7024/09-01-2025 06:51:02/SWT,,10000,2003.73,PJ_Cash
08-01-2025,Bank_CS, From Bank-CS,11000,,12003.73,Bank_CS
07-01-2025,Bank_CS, From Bank-CS,3600,,1003.73,Bank_CS
07-01-2025,PettyCash_PJ, CWDR To Pettycash_PJ/500711439023/07-01-2025 11:01:10/SWT,,3602,-2596.27,PettyCash_PJ
31-12-2024,Bank_CS, From Bank-CS,500,,1005.73,Bank_CS
31-12-2024,PettyCash_PJ, CWDR To Pettycash_PJ/20/31-12-2024 13:19:45/SWT,,502,505.73,PettyCash_PJ
30-12-2024,PettyCash_PJ, CWDR To Pettycash_PJ/6184/30-12-2024 06:52:24/SWT,,10000,1007.73,PettyCash_PJ
30-12-2024,PettyCash_PJ #2, CWDR To Pettycash_PJ/6185/30-12-2024 06:53:25/SWT,,10000,11007.73,PettyCash_PJ #2
28-12-2024,Bank_CS, From Bank-CS,21700,,21007.73,Bank_CS
28-12-2024,PettyCash_PJ, CWDR To Pettycash_PJ/2178106822/28-12-2024 18:22:11/SWT,,1702,-692.27,PettyCash_PJ
25-12-2024,PettyCash_PJ, CWDR To Pettycash_PJ/7708/25-12-2024 09:06:28/SWT,,2502,1009.73,PettyCash_PJ
24-12-2024,Bank_CS, From Bank-CS,12500,,3511.73,Bank_CS
24-12-2024,PettyCash_PJ, CWDR To Pettycash_PJ/1539/24-12-2024 17:17:05/SWT,,5002,-8988.27,PettyCash_PJ
24-12-2024,PettyCash_PJ #2, CWDR To Pettycash_PJ/1540/24-12-2024 17:18:20/SWT,,5002,-3986.27,PettyCash_PJ #2
17-12-2024,PettyCash_PJ, CWDR To Pettycash_PJ/5267/17-12-2024 06:57:07/SWT,,8500,1015.73,PettyCash_PJ
16-12-2024,Bank_CS, From Bank-CS,8500,,9515.73,Bank_CS
12-12-2024,Bank_CS, From Bank-CS,1300,,1015.73,Bank_CS
12-12-2024,PettyCash_PJ, CWDR To Pettycash_PJ/9769/12-12-2024 12:36:22/SWT,,1502,-284.27,PettyCash_PJ
11-12-2024,PettyCash_PJ, CWDR To Pettycash_PJ/2154110701/11-12-2024 07:06:27/SWT,,5002,1217.73,PettyCash_PJ
11-12-2024,PettyCash_PJ, CWDR To Pettycash_PJ/2154111030/11-12-2024 07:07:51/SWT,,2302,6219.73,PettyCash_PJ
10-12-2024,Bank_CS, From Bank-CS,7300,,8521.73,Bank_CS
09-12-2024,PettyCash_PJ, CWDR To Pettycash_PJ/342401/09-12-2024 20:14:42/SWT,,1002,1221.73,PettyCash_PJ
09-12-2024,PettyCash_PJ, CWDR To Pettycash_PJ/5485/09-12-2024 06:43:50/SWT,,502,2223.73,PettyCash_PJ
06-12-2024,Bank_CS, From Bank-CS,2000,,2725.73,Bank_CS
06-12-2024,PettyCash_PJ, CWDR To Pettycash_PJ/205376/06-12-2024 17:16:42/SWT,,1502,725.73,PettyCash_PJ
05-12-2024,PettyCash_PJ, CWDR To Pettycash_PJ/3731/05-12-2024 07:36:12/SWT,,5002,2227.73,PettyCash_PJ
04-12-2024,Bank_CS, From Bank-CS,5000,,7229.73,Bank_CS
28-11-2024,Bank_CS, From Bank-CS,2000,,2229.73,Bank_CS
28-11-2024,PettyCash_PJ, CWDR To Pettycash_PJ/2136310964/28-11-2024 11:34:51/SWT,,1902,229.73,PettyCash_PJ
26-11-2024,PettyCash_PJ, CWDR To Pettycash_PJ/682680/26-11-2024 20:24:56/SWT,,502,2131.73,PettyCash_PJ
25-11-2024,Bank_CS, From Bank-CS,20500,,2633.73,Bank_CS
25-11-2024,PettyCash_PJ, CWDR To Pettycash_PJ/3524/25-11-2024 12:47:00/SWT,,10000,-17866.27,PettyCash_PJ
25-11-2024,PettyCash_PJ #2, CWDR To Pettycash_PJ/3525/25-11-2024 12:48:00/SWT,,10000,-7866.27,PettyCash_PJ #2
23-11-2024,PettyCash_PJ, CWDR To Pettycash_PJ/9132/23-11-2024 06:41:22/SWT,,1002,2133.73,PettyCash_PJ
21-11-2024,PettyCash_PJ, CWDR To Pettycash_PJ/3644/21-11-2024 07:51:23/SWT,,502,3135.73,PettyCash_PJ
18-11-2024,PettyCash_PJ, CWDR To Pettycash_PJ/549654/18-11-2024 19:31:29/SWT,,3102,3637.73,PettyCash_PJ
18-11-2024,PettyCash_PJ, CWDR To Pettycash_PJ/6649/18-11-2024 06:43:48/SWT,,4502,6739.73,PettyCash_PJ
15-11-2024,PettyCash_PJ, CWDR To Pettycash_PJ/2912/15-11-2024 06:48:38/SWT,,1000,11241.73,PettyCash_PJ
13-11-2024,Drawings, Payoneer Inc,644.27,,12241.73,Drawings
28-10-2024,Bank_CS, From Bank-CS,1,,11597.46,Bank_CS
28-10-2024,Bank_CS, From Bank-CS,10000,,11596.46,Bank_CS
20-10-2024,PettyCash_PJ, CWDR To Pettycash_PJ/777811957,,1502,1596.46,PettyCash_PJ
